delete_useless_data,outliers_selector,intercross,degree,gamma,result
True,3.3,True,1,0.1,1.2,74.3445
True,3.3,True,1,0.1,1,68.771
True,3.3,True,1,0.1,0.8,72.412
True,3.3,True,1,0.1,0.6,74.4225
True,3.3,True,1,0.1,0.4,69.5135
True,3.3,True,1,0.1,0.2,73.9975
True,3.3,True,1,0.1,0.1,74.096
True,3.3,True,1,0.05,1.2,60.7095
True,3.3,True,1,0.05,1,57.374
True,3.3,True,1,0.05,0.8,69.5115
True,3.3,True,1,0.05,0.6,70.3815
True,3.3,True,1,0.05,0.4,73.302
True,3.3,True,1,0.05,0.2,74.104
True,3.3,True,1,0.05,0.1,74.4015
True,3.3,True,1,0.01,1.2,72.874
True,3.3,True,1,0.01,1,74.09
True,3.3,True,1,0.01,0.8,73.959
True,3.3,True,1,0.01,0.6,74.1805
True,3.3,True,1,0.01,0.4,74.5805
True,3.3,True,1,0.01,0.2,75.0175
True,3.3,True,1,0.01,0.1,75.27
True,3.3,True,1,0.005,1.2,74.282
True,3.3,True,1,0.005,1,74.3895
True,3.3,True,1,0.005,0.8,74.6325
True,3.3,True,1,0.005,0.6,74.8135
True,3.3,True,1,0.005,0.4,75.0305
True,3.3,True,1,0.005,0.2,75.3035
True,3.3,True,1,0.005,0.1,75.435
True,3.3,True,1,0.001,1.2,75.244
True,3.3,True,1,0.001,1,75.259
True,3.3,True,1,0.001,0.8,75.334
True,3.3,True,1,0.001,0.6,75.373
True,3.3,True,1,0.001,0.4,75.4445
True,3.3,True,1,0.001,0.2,75.478
True,3.3,True,1,0.001,0.1,75.5095
True,3.3,True,1,0.0001,1.2,75.5215
True,3.3,True,1,0.0001,1,75.494
True,3.3,True,1,0.0001,0.8,75.515
True,3.3,True,1,0.0001,0.6,75.542
True,3.3,True,1,0.0001,0.4,75.508
True,3.3,True,1,0.0001,0.2,75.527
True,3.3,True,1,0.0001,0.1,75.556
True,3.52,True,1,0.1,1.2,67.9325
True,3.52,True,1,0.1,1,71.003
True,3.52,True,1,0.1,0.8,73.676
True,3.52,True,1,0.1,0.6,72.858
